"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"DRR374677" 0.225666666666667 0.0333333333333333 0.196 0.062 0.349666666666667 0.0443333333333333 0.089 0.134333333333333 0.0913333333333333 -2.77555756156289e-17 0.0433333333333333 0 0.0576666666666667 0.0333333333333333 0 0 0 0 0.0256666666666667 0 0.0176666666666667 0 0 0 0 0.0256666666666667 0 0.0176666666666667 0 0 0 0 0 0 0 0.0256666666666667 0 0 0 0 0 0 0.0256666666666667 0
"DRR374678" 0.261928595261929 0.049049049049049 0.269936603269937 0.108775442108775 0.225892559225893 0.015015015015015 0.0694027360694027 0.196863530196864 0.0650650650650651 0 0.0794127460794127 0.048048048048048 0.0326993660326994 0.0123456790123457 0.0113446780113447 0.013013013013013 0 0.0146813480146813 0.037037037037037 0 0.0166833500166833 0.002002002002002 0.00900900900900901 0 0.0146813480146813 0.0293626960293627 0 0.0166833500166833 0.002002002002002 0.0166833500166833 0.000667334000667334 0 0.0136803470136803 0.001001001001001 0 0.0293626960293627 0 0 0 0.0146813480146813 0 0 0.0293626960293627 0
"DRR374679" 0.387795931977326 0.0470156718906302 0.277092364121374 0.0670223407802601 0.08702900966989 0.0433477825941981 0.090696898966322 0.199399799933311 0.188396132044015 0 0.0500166722240747 0.0706902300766922 0.0396798932977659 0.00666888962987663 0.0186728909636546 0.0136712237412471 0.00500166722240747 0 0.0140046682227409 0 0.0133377792597533 0.0136712237412471 0.00400133377792598 0.00500166722240747 0 0.0140046682227409 0 0.0133377792597533 0.0136712237412471 0.00400133377792598 0 0 0 0 0 0.0140046682227409 0.00500166722240747 0 0 0 0 0 0.0140046682227409 0
"DRR374680" 0.320666666666667 0 0.197333333333333 0.0466666666666667 0.371666666666667 0 0.0636666666666668 0.239333333333333 0.0813333333333333 0 0.0896666666666667 0.0566666666666667 0.0223333333333333 0.013 0.016 0.0416666666666666 0 0 0.069 0 0 0 0.0206666666666667 0 0 0.058 0 0 0 0.0316666666666667 0 0 0 0 0 0.058 0 0 0 0 0 0 0.058 0
"DRR374681" 0.467801134467801 0.0910910910910911 0.225892559225893 0.0116783450116783 0.0934267600934268 0.0797464130797464 0.0303636970303638 0.376376376376376 0.0914247580914248 0 0.139806473139806 0.177177177177177 0.0176843510176844 0.0413747080413747 0 0.00033366700033366 0 0.0113446780113447 0.000333667000333667 0.032032032032032 0.0226893560226894 0.0640640640640641 0.00934267600934269 0.032032032032032 0.0113446780113447 0.000333667000333667 0 0.0226893560226894 0.0640640640640641 0.00934267600934269 0 0 0.0113446780113447 0 0 0.000333667000333667 0 0 0 0.0113446780113447 0 0 0.000333667000333667 0
"DRR374682" 0.804934978326109 0 0.0703567855951984 0 0.124708236078693 0 0 0.444814938312771 0.360120040013338 0 0.442814271423808 0.00133377792597533 0 0.000666888962987663 0 0 0 0 0 0 0.442814271423808 0 0 0 0 0 0 0.442814271423808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DRR374683" 0.215333333333333 0.000666666666666667 0.277333333333333 0.039 0.295333333333333 0.03 0.142333333333333 0.191 0.0243333333333333 0 0.0483333333333333 0.0453333333333333 0 0.031 0.0663333333333333 0 0 0.0216666666666667 0 0 0 0 0.0266666666666667 0 0.0216666666666667 0 0 0 0 0.0266666666666667 0 0 0.0216666666666667 0 0 0 0 0 0 0.0216666666666667 0 0 0 0
"DRR374684" 0.321666666666667 0.064 0.159333333333333 0.115 0.147333333333333 0.0846666666666667 0.108 0.321 0.000666666666666667 0 0.251 0.0696666666666667 0 0 0 0.000333333333333352 0 0.043 0.124333333333333 0 0 0 0.0836666666666667 0 0.043 0.124333333333333 0 0 0 0.0836666666666667 0 0 0.043 0 0 0.124333333333333 0 0 0 0.043 0 0 0.124333333333333 0
"DRR374685" 0.219 0.194333333333333 0.117666666666667 0.0253333333333333 0.278333333333333 0.00766666666666667 0.157666666666667 0.14 0.079 -2.77555756156289e-17 0.0186666666666667 0.0273333333333333 0.0433333333333333 0.002 0.0433333333333333 0.00533333333333336 0 0 0.00666666666666667 0 0.012 0 0 0 0 0.00666666666666667 0 0.012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DRR374686" 0.131798465131798 0.346012679346013 0.0730730730730731 0.0343677010343677 0.00133466800133467 0.101434768101435 0.311978645311979 0.0967634300967634 0.035035035035035 0 0.0363697030363697 0.00867534200867534 0.0113446780113447 0.004004004004004 0.0196863530196864 0.0166833500166833 0 0 0.0347013680347014 0 0 0 0.00166833500166833 0 0 0.0347013680347014 0 0 0 0.00166833500166833 0 0 0 0 0 0.0347013680347014 0 0 0 0 0 0 0.0347013680347014 0
